,en,pt-br,es
File,File,Arquivo,Archivo
Open,Open,Abrir,Abrir
Import,Import,Importar,Importar
Open file location,Open file location,Abrir local do arquivo,Abrir ubicación del archivo
Settings,Settings,Configurações,Ajustes
Keep Displaying HUD,Keep Displaying HUD,Continuar mostrando HUD,Seguir mostrando HUD
Words Per Minute,Words Per Minute,Palavras Por Minuto,Palabras por minuto
WPM,WPM,PPM,PPM
General,General,Geral,General
Window,Window,Janela,Ventana
Theme,Theme,Tema,Tema
Language,Language,Idioma,Idioma
Font,Font,Fonte,Fuente
White,White,Claro,Claro
Dark,Dark,Escuro,Oscuro
Mode,Mode,Modo,Modo
Resolution,Resolution,Resolução,Resolución
Fullscreen,Fullscreen,Tela Cheia,Pantalla Completa
Name of the folder,Name of the folder,Nome do arquivo,Nombre del archivo
Type the name of the folder,Type the name of the folder,Digite o nome do arquivo,Introduzca el nombre del archivo.
Importation,Importation,Importação,Importar
Warning,Warning,Aviso,Aviso
Error,Error,Erro,Error
Success,Success,Sucesso,Éxito
Invalid file type,Invalid file type,Tipo de arquivo inválido,Tipo de archivo no válido
The accepted formats are,The accepted formats are,Os formatos aceitos são,Los formatos aceptados son
Importing file,Importing file,Importando arquivo,Importando archivo
File not found,File not found,Arquivo não encontrado,Archivo no encontrado
This name of file already exists,This name of file already exists,Esse nome de arquivo já existe,Este nombre de archivo ya existe.
Unknown,Unknown,Desconhecido,Desconocido
The file was imported,The file was imported,O arquivo foi importado,El archivo fue importado.
It is only possible to open files in the following format,It is only possible to open files in the following format,Só é possivel abrir arquivos em formato,Sólo es posible abrir archivos en el siguiente formato
"If you want to open a different file, try ""importing"" it first.","If you want to open a different file, try ""importing"" it first.","Se quiser abrir algum arquivo diferente, tente \""importar\"" primeiro.","Si desea abrir un archivo diferente, intente ""importarlo"" primero."
Lists,Lists,Listas,Listas
All,All,Todos,Todas
None,None,Nenhum,Ninguna
Reading,Reading,Lendo,Leyendo
Plan to read,Plan to read,Planejo ler,Planeo leer
Completed,Completed,Completei,Completado
On hold,On hold,Dando um tempo,En pausa
Re-reading,Re-reading,Re-lendo,Releyendo
Dropped,Dropped,Larguei,Abandonado
Manage lists,Manage lists,Gerenciar listas,Administrar listas
Edit,Edit,Editar,Editar
Erase,Erase,Apagar,Eliminar
Add to list,Add to list,Adicionar a lista,Añadir a la lista
Stars,Stars,Estrelas,Estrellas
Type,Type,Tipo,Tipo
Block,Block,Bloco,Bloque
Long,Long,Longo,Largo
Sort,Sort,Ordenar,Ordenar
Used recently,Used recently,Usados recentemente,Usados recientemente
Used oldest,Used oldest,Usados mais antigo,Usados más antiguos
Added recently,Added recently,Adicionados recentemente,Añadidos recientemente
Added oldest,Added oldest,Adicionados mais antigo,Añadidos más antiguos
Alphabetical,Alphabetical,Alfabético,Alfabético
Ascending,Ascending,Ascendente,Ascendente
Descending,Descending,Descendente,Descendente
Filter,Filter,Filtrar,Filtrar
New file,New file,Novo arquivo,Nuevo archivo
Search,Search,Procurar,Buscar
Return,Return,Voltar,Volver
Filter tags,Filter tags,Filtrar tags,Filtrar etiquetas
Options,Options,Opções,Opciones
Include Mode,Include Mode,Modo de Inclusão,Modo de inclusión
Exclude Mode,Exclude Mode,Modo de Exclusão,Modo de exclusión
And,And,E,Y
Or,Or,Ou,O
Reset choices,Reset choices,Resetar escolhas,Restablecer selecciones
Confirm,Confirm,Confirmar,Confirmar
Erase tag,Erase tag,Apagar tag,Eliminar etiqueta
New tag,New tag,Nova tag,Nueva etiqueta
Name,Name,Nome do arquivo,Nombre del archivo
Tag's name,Tag's name,Nome da tag,Nombre de la etiqueta
Background color,Background color,Cor do fundo,Color de fondo
Foreground color,Foreground color,Cor da letra,Color del texto
Result,Result,Resultado,Resultado
Create,Create,Criar,Crear
New list,New list,Nova lista,Nueva lista
List's name,List's name,Nome da lista,Nombre de la lista
Edit tags,Edit tags,Editar tags,Editar etiquetas
Edit book,Edit book,Editar livro,Editar libro
Write a comment here,Write a comment here,Escreva um comentário aqui,Escribe un comentario aquí
Edit list,Edit list,Editar lista,Editar lista
Edit tag,Edit tag,Editar tag,Editar etiqueta
Tags,Tags,Tags,Etiquetas
Book's name,Book's name,Nome do livro,Nombre del libro
Finished,Finished,Pronto,Listo
Add tag,Add tag,Adicionar tag,Agregar etiqueta
Books,Books,Livros,Libros
"This field accepts BBCode, for example:","This field accepts BBCode, for example:","Esse campo aceita BBCode, exemplos:","Este campo acepta BBCode, por ejemplo:"
Click to find out more,Click to find out more,Clique para saber mais,Haga clic para obtener más información
Are you sure you want to erase the book,Are you sure you want to erase the book,Você tem certeza que deseja apagar o livro,Estás seguro que deseas eliminar el libro
Are you sure you want to erase the list,Are you sure you want to erase the list,Você tem certeza que deseja apagar a lista,Estás seguro que deseas eliminar la lista
Cancel,Cancel,Cancelar,Cancelar
Yes,Yes,Sim,Sí
None,No,Não,No